WI000728,Grundlagen der Betriebswirtschaftslehre 1 ,TUM School of Management ,Aufbau u. Vorbereitung,Modulprüfung,fix,"N 1179, Wilhelm-Nusselt-Hörsaal (0101.02.179) ",16.02.2023,13:30  ,14:15
WI000728,Grundlagen der Betriebswirtschaftslehre 1 ,TUM School of Management ,Prüfungstermin,Modulprüfung,fix,"N 1179, Wilhelm-Nusselt-Hörsaal (0101.02.179) ",16.02.2023,14:15  ,15:15
WI000728,Grundlagen der Betriebswirtschaftslehre 1 ,TUM School of Management ,Nachbereitung,Modulprüfung,fix,"N 1179, Wilhelm-Nusselt-Hörsaal (0101.02.179) ",16.02.2023,15:15  ,15:45
WI000728,Grundlagen der Betriebswirtschaftslehre 1 ,TUM School of Management ,Aufbau u. Vorbereitung,Modulprüfung,fix,"N 1189, Hans-Piloty-Hörsaal (0101.02.189) ",16.02.2023,13:30  ,14:15
WI000728,Grundlagen der Betriebswirtschaftslehre 1 ,TUM School of Management ,Prüfungstermin,Modulprüfung,fix,"N 1189, Hans-Piloty-Hörsaal (0101.02.189) ",16.02.2023,14:15  ,15:15
WI000728,Grundlagen der Betriebswirtschaftslehre 1 ,TUM School of Management ,Nachbereitung,Modulprüfung,fix,"N 1189, Hans-Piloty-Hörsaal (0101.02.189) ",16.02.2023,15:15  ,15:45
WI000688,Marketing ,TUM School of Management ,Aufbau u. Vorbereitung,Modulprüfung,fix,"N 1090 ZG, Hörsaal mit exp. Bühne (0101.Z1.090) ",13.02.2023,13:30  ,14:15
WI000688,Marketing ,TUM School of Management ,Prüfungstermin,Modulprüfung,fix,"N 1090 ZG, Hörsaal mit exp. Bühne (0101.Z1.090) ",13.02.2023,14:15  ,15:15
WI000688,Marketing ,TUM School of Management ,Nachbereitung,Modulprüfung,fix,"N 1090 ZG, Hörsaal mit exp. Bühne (0101.Z1.090) ",13.02.2023,15:15  ,15:45
WI000739,Consumer Behavior ,Lehrstuhl für Marketing und Konsumforschung (Prof. Roosen) ,Aufbau u. Vorbereitung,Modulprüfung,geplant,"HO10, Hörsaal 16 Carl-Kronacher-Hörsaal (WZWH16) (4214.EG.010) ",17.02.2023,10:15  ,11:00
WI000739,Consumer Behavior ,Lehrstuhl für Marketing und Konsumforschung (Prof. Roosen) ,Prüfungstermin,Modulprüfung,geplant,"HO10, Hörsaal 16 Carl-Kronacher-Hörsaal (WZWH16) (4214.EG.010) ",17.02.2023,11:00  ,13:00
WI000739,Consumer Behavior ,Lehrstuhl für Marketing und Konsumforschung (Prof. Roosen) ,Nachbereitung,Modulprüfung,geplant,"HO10, Hörsaal 16 Carl-Kronacher-Hörsaal (WZWH16) (4214.EG.010) ",17.02.2023,13:00  ,13:30
